Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
American Samoa,ASM,"Population ages 0-14, total",SP.POP.0014.TO,9899,10073,10296,10563,10869,11203,11543,11875,12205,12517,12720,12809,12873,12931,12977,13028,13074,13093,13090,13059,13184,13539,13964,14394,14837,15300,15783,16284,16796,17315,17855,18400,18922,19422,19904,20372,20819,21234,21591,21867,21974,21888,21715,21499,21247,20956,20621,20258,19888,19547,19127,18594,18091,17645,17234,16836,16425,16009,15598,15202,14765,14196,13568,13074
Antigua and Barbuda,ATG,"Population ages 0-14, total",SP.POP.0014.TO,22281,22594,22880,23195,23844,24758,25610,26452,27272,28034,28177,27632,26885,26006,25071,24118,23230,22475,21793,21194,20632,20034,19453,18941,18580,18451,18450,18459,18509,18623,18763,18834,18887,19032,19254,19533,19875,20213,20461,20615,20794,20940,20936,20868,20764,20609,20482,20408,20387,20395,20268,20028,19758,19475,19220,18918,18572,18279,17994,17731,17548,17402,17244,17000
Australia,AUS,"Population ages 0-14, total",SP.POP.0014.TO,3104374,3167374,3230825,3276509,3326947,3375073,3433460,3453770,3491039,3547607,3604165,3710350,3754375,3775906,3825582,3816667,3789891,3765515,3743782,3721867,3713530,3725642,3746066,3748842,3738049,3723515,3705459,3695424,3705325,3731537,3760718,3789567,3816655,3835180,3855020,3877400,3898674,3912080,3922005,3935489,3949295,3964978,3970499,3975386,3977978,3987698,4006364,4049805,4103718,4161575,4201202,4240703,4307017,4378936,4440773,4501968,4569087,4633556,4683563,4727773,4760426,4732135,4743867,4806684
Austria,AUT,"Population ages 0-14, total",SP.POP.0014.TO,1553561,1589510,1615936,1638876,1667510,1698236,1729551,1760652,1786926,1807346,1819445,1824099,1822941,1813196,1792892,1760971,1721330,1678383,1631021,1582295,1541617,1511854,1480542,1443622,1410442,1383931,1362893,1346460,1337956,1338176,1345184,1362356,1386750,1405790,1414586,1415471,1410482,1400147,1388150,1377095,1365225,1352479,1342579,1334368,1326187,1317595,1303755,1286030,1268918,1252902,1239534,1229031,1221517,1218879,1222224,1236244,1255119,1268199,1275684,1280737,1283418,1286112,1297158,1306083
Azerbaijan,AZE,"Population ages 0-14, total",SP.POP.0014.TO,1571839,1700001,1805258,1898797,1992214,2073124,2146232,2206605,2254506,2293126,2320217,2339391,2348166,2345069,2332977,2312218,2279208,2239036,2193778,2162382,2153686,2152977,2163294,2180471,2203353,2225683,2249515,2278350,2313734,2370238,2427623,2473040,2515575,2551599,2574168,2581882,2580603,2571273,2547264,2502611,2441524,2369643,2293781,2219334,2158061,2109656,2069021,2038238,2031534,2028547,2020145,2033052,2071188,2133495,2200928,2263054,2318889,2356593,2361879,2360396,2360777,2346414,2312077,2268845
Burundi,BDI,"Population ages 0-14, total",SP.POP.0014.TO,1247983,1281319,1316250,1350954,1389998,1424684,1453061,1484366,1517252,1551248,1586655,1624470,1646052,1662641,1696660,1736450,1778366,1823346,1872830,1926019,1990633,2062789,2134050,2207428,2281103,2354196,2425779,2498895,2573105,2647578,2721228,2791764,2863833,2892707,2919591,2979380,3012558,3031896,3056967,3087719,3122670,3167029,3222943,3290972,3374496,3472435,3583700,3708851,3848338,4029910,4228496,4410983,4604288,4808412,5011754,5197211,5363067,5517425,5664235,5802585,5924549,6031429,6126225,6210184
Belgium,BEL,"Population ages 0-14, total",SP.POP.0014.TO,2167997,2187801,2198011,2216299,2242362,2267801,2285178,2294506,2295366,2291474,2280724,2270019,2259360,2239302,2211474,2178897,2143340,2106656,2068933,2030693,1996675,1965366,1936002,1908743,1881953,1854834,1829830,1810487,1801566,1801083,1806568,1816463,1825197,1829999,1828695,1821788,1814025,1809227,1806256,1804981,1804863,1805097,1803945,1800052,1796128,1795440,1796839,1800196,1808777,1823706,1845743,1874027,1886147,1895820,1905354,1915854,1924367,1930645,1936500,1940574,1938530,1932898,1930701,1920259
Benin,BEN,"Population ages 0-14, total",SP.POP.0014.TO,985191,1011024,1039787,1070061,1102368,1136730,1172103,1208450,1245762,1284138,1323603,1364074,1405525,1447811,1490824,1534786,1579437,1624925,1671671,1720788,1773666,1830309,1889789,1950980,2014044,2079301,2146637,2216261,2288324,2361996,2437212,2514462,2593347,2682902,2774548,2856768,2937904,3021017,3106654,3193674,3281386,3370078,3460453,3554052,3652022,3755640,3863139,3973010,4084562,4192313,4300993,4417242,4539075,4665502,4796141,4930296,5066562,5202150,5332938,5456849,5574843,5687136,5795589,5903530
Burkina Faso,BFA,"Population ages 0-14, total",SP.POP.0014.TO,1904466,1932151,1963899,2005104,2054661,2106212,2158600,2212037,2266649,2321853,2377507,2433675,2490841,2550328,2613236,2680495,2752424,2830452,2916110,3008568,3106422,3208770,3315219,3425867,3541850,3663765,3789639,3917237,4044962,4172158,4299283,4425913,4550346,4671035,4789535,4909316,5031677,5156256,5284495,5416103,5551452,5692528,5838898,5994073,6159463,6334310,6522206,6722440,6932440,7150473,7374136,7602737,7836022,8072389,8308583,8540541,8764372,8976861,9167490,9328649,9460662,9571592,9671755,9763217
Bangladesh,BGD,"Population ages 0-14, total",SP.POP.0014.TO,21816549,22545197,23336289,24196020,25123124,26049884,26964146,27906752,28862452,29820778,30684512,31298352,32033327,33051557,34057367,34981579,35842925,36708528,37589704,38502968,39455888,40500565,41603750,42651998,43639505,44568075,45403782,46102088,46678375,47200782,47683136,48090475,48457704,48782423,49051034,49267382,49413530,49564409,49766618,50002499,50215540,50508004,50894836,51244176,51526671,51720143,51852362,51950709,52006995,51973109,51825406,51579250,51214229,50753512,50242811,49699406,49153855,48779610,48639192,48610039,48656232,48745975,48732187,48629551
