Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cote d'Ivoire,CIV,"Population ages 0-14, total",SP.POP.0014.TO,1584777,1646745,1715425,1792483,1875284,1959960,2047236,2138396,2233776,2333854,2439330,2551105,2670028,2796854,2932101,3074707,3223207,3377526,3536261,3700170,3871479,4049613,4233674,4422482,4615948,4813414,5013061,5214181,5415644,5617848,5824037,6034930,6250955,6473345,6699536,6930853,7170086,7418128,7674973,7918545,8148291,8381115,8612500,8842131,9070460,9297463,9523436,9748298,9859269,9866599,9895189,9947246,10015633,10091222,10307896,10659894,11005989,11336804,11640015,11925038,12196714,12442727,12663371,12864067
Cameroon,CMR,"Population ages 0-14, total",SP.POP.0014.TO,2040004,2090773,2145573,2205308,2268827,2333626,2400204,2470651,2545784,2626097,2711139,2800609,2894361,2991877,3093166,3198074,3306087,3417981,3535484,3658334,3790015,3930326,4066052,4197652,4333732,4474139,4619586,4770096,4923122,5076748,5232169,5388723,5544036,5697355,5847635,5993418,6132255,6265053,6401942,6547664,6696610,6845362,6998512,7162166,7338418,7525829,7720970,7924907,8139348,8363373,8595287,8832787,9074575,9317544,9565306,9824583,10095747,10370945,10641249,10902255,11150960,11389621,11621846,11848591
"Congo, Dem. Rep.",COD,"Population ages 0-14, total",SP.POP.0014.TO,6546195,6699438,6861560,7040819,7240722,7460070,7696845,7946555,8205662,8472922,8749144,9031464,9318079,9609614,9905579,10204989,10505777,10807481,11125551,11467273,11818142,12174676,12543747,12932254,13345795,13782799,14239223,14717792,15218540,15736105,16278327,16847392,17446175,18084851,18806636,19561000,20248717,20900600,21587373,22317617,23065671,23825480,24589995,25358342,26144024,26964693,27823904,28718530,29645037,30608280,31581435,32580474,33662964,34829792,36041124,37267948,38549213,39903907,41302598,42735104,44205882,45702016,47217409,48756676
"Congo, Rep.",COG,"Population ages 0-14, total",SP.POP.0014.TO,451328,466006,481484,497256,513376,529987,547014,564849,583602,603394,624173,646043,669100,693048,717626,740663,761501,781769,801299,819653,836754,852928,868193,882034,900063,923791,948524,973721,999522,1025745,1051536,1077347,1103624,1131199,1160449,1190376,1220508,1249225,1277860,1306419,1337845,1371484,1403284,1438196,1477656,1520986,1568235,1618899,1672805,1735043,1804035,1873375,1941468,2007645,2072732,2136233,2196239,2252133,2305724,2355747,2402722,2447827,2489868,2527792
Colombia,COL,"Population ages 0-14, total",SP.POP.0014.TO,7301458,7557951,7818164,8081316,8336057,8577740,8810241,9029307,9231438,9414377,9577387,9719658,9842578,9949545,10043652,10128681,10208406,10286379,10360468,10431955,10510198,10598183,10696842,10804915,10914677,11018297,11124470,11241701,11366285,11497963,11635475,11772563,11909997,12054046,12196610,12319024,12413780,12491542,12565916,12636200,12697105,12746663,12785004,12812639,12820849,12800117,12745011,12659538,12550566,12426267,12295613,12157177,12006615,11841880,11670862,11502697,11345086,11217219,11120681,11041016,10968840,10902287,10840797,10777030
Comoros,COM,"Population ages 0-14, total",SP.POP.0014.TO,82293,84569,87026,89700,92463,94872,97267,100485,104218,107956,111729,115622,119744,124134,128785,133633,138598,143634,148664,153641,158431,162948,167438,172083,176906,181955,187190,192525,197913,203363,208783,213796,219088,224787,230035,234838,239257,243208,246573,249221,252000,255775,260186,263748,265639,266880,268032,269090,270113,271205,272488,274082,276051,279530,284366,289145,293646,297201,300159,303330,306970,310939,314644,318057
Cabo Verde,CPV,"Population ages 0-14, total",SP.POP.0014.TO,91630,95390,100048,104643,109027,113113,116899,120475,123873,127114,130146,132426,133786,134854,135972,138441,142050,145347,148369,151091,153338,155013,156462,157953,159439,161009,162725,164541,166418,168545,171695,175451,178829,181817,184392,186482,188057,189179,189830,189924,189405,188232,186479,184300,181813,179169,176485,173737,170817,167691,164091,159921,155872,152421,149556,147419,146180,145709,145679,145879,146146,144620,141237,137743
Costa Rica,CRI,"Population ages 0-14, total",SP.POP.0014.TO,616452,641998,667287,691788,715123,737254,757730,776140,791820,805264,817171,827226,835431,841920,847462,852793,858494,865204,873404,883721,896116,910559,927558,947742,970632,995452,1021662,1048172,1074326,1099319,1122792,1144274,1163345,1180110,1194293,1206153,1215546,1221853,1225408,1226721,1225464,1221246,1213553,1203066,1191560,1180637,1169676,1158808,1149948,1142060,1132191,1122100,1113886,1104685,1094733,1085493,1076610,1069045,1063294,1056371,1043931,1027035,1008204,986948
Caribbean small states,CSS,"Population ages 0-14, total",SP.POP.0014.TO,762508,781764,803520,827328,849764,871667,892975,912677,931233,948262,960826,968893,970843,966990,961554,954481,946438,937161,926290,915082,904587,893570,882382,872874,865116,859096,853903,848985,844692,841485,838684,837458,839189,841898,845415,849787,853463,856161,857431,857628,857381,856151,853966,850885,846681,841273,835017,828272,821537,814933,806780,797559,790453,785826,781520,776907,772259,768285,766974,765681,763136,760696,757624,753862
Cuba,CUB,"Population ages 0-14, total",SP.POP.0014.TO,2607643,2674110,2748907,2831520,2915073,2995324,3073546,3148535,3219138,3286742,3350622,3406043,3449364,3480135,3496106,3492547,3465615,3412817,3334953,3237075,3125566,3007593,2900906,2811748,2729660,2651750,2578897,2514738,2466621,2436899,2422921,2416478,2411658,2409500,2411042,2416524,2423008,2420367,2405681,2385846,2361934,2334403,2303739,2268243,2226316,2179513,2132262,2089411,2053735,2025697,2002091,1979721,1957265,1933485,1907678,1882629,1857498,1830657,1807021,1787028,1769828,1753515,1733848,1709630
Curacao,CUW,"Population ages 0-14, total",SP.POP.0014.TO,51825,52531,53383,54215,54907,55553,55948,56311,56884,57396,57712,58034,57140,55557,54708,53546,52172,50740,48968,47487,46325,45406,44856,44293,43807,43488,43104,42511,41704,40911,40383,40076,39972,40099,40160,40224,40394,40326,39292,37486,35528,33836,33251,33039,32668,32542,32432,32138,31620,30926,30492,30010,29543,29523,29580,29631,29555,29137,27377,25967,25287,24288,23381,22538
Cayman Islands,CYM,"Population ages 0-14, total",SP.POP.0014.TO,3056,3182,3312,3440,3560,3670,3770,3860,3933,3982,4065,4207,4360,4501,4616,4707,4775,4818,4828,4824,4902,5044,5163,5264,5354,5435,5505,5561,5616,5692,5808,5946,6100,6281,6484,6699,6917,7131,7327,7517,7776,8067,8321,8552,8758,8941,9111,9280,9451,9627,9839,10101,10358,10571,10749,10889,11006,11119,11223,11289,11313,11460,11709,11901
Cyprus,CYP,"Population ages 0-14, total",SP.POP.0014.TO,214044,216667,215281,213428,211439,209728,208527,207675,206899,206051,205135,204297,203734,202066,198767,195066,190700,185815,181272,177359,174280,172155,172513,176210,180811,184557,187569,190050,192215,194172,195888,197228,198999,203452,208837,212210,213932,214396,213937,212800,211147,209582,209355,209541,208523,206416,203506,200204,196919,193972,191579,190570,191085,191992,193145,194881,197231,199837,202362,204946,207698,210631,213462,215921
Czechia,CZE,"Population ages 0-14, total",SP.POP.0014.TO,2460506,2408309,2354789,2312603,2288821,2265292,2232971,2196804,2162696,2134798,2101692,2078049,2081325,2107494,2160279,2224262,2284413,2336976,2377878,2405211,2415788,2419078,2424494,2427147,2425396,2417868,2402534,2376720,2337049,2282183,2213534,2149879,2096183,2042368,1985574,1928371,1875733,1826303,1780217,1735482,1688128,1641011,1600223,1563538,1530220,1502026,1479121,1470333,1475516,1487418,1508592,1531580,1551337,1569369,1588952,1610763,1631937,1654209,1677068,1698040,1711959,1688164,1701957,1702790
Germany,DEU,"Population ages 0-14, total",SP.POP.0014.TO,15498034,15928151,16310351,16690403,17031389,17317693,17584323,17806914,17982314,18116503,18103237,18025720,17917148,17676371,17339997,16898218,16386898,15879149,15377059,14885693,14451564,14045456,13616142,13177977,12757002,12438009,12260854,12171342,12247071,12490254,12778230,13008704,13158880,13264322,13297791,13273385,13231540,13190084,13074318,12950587,12869059,12747843,12589860,12391155,12174459,11952447,11706428,11505214,11366534,11267454,11200096,10900547,10769667,10671474,10672795,10790892,10974190,11123168,11244193,11352657,11444371,11529089,11658421,11588887
Djibouti,DJI,"Population ages 0-14, total",SP.POP.0014.TO,38003,39333,40886,42726,44922,47557,50491,53565,56758,60514,64856,69605,74888,80659,87308,95354,104979,115947,127554,138649,148181,155734,161612,166842,172772,180428,190183,201746,214066,230060,253512,274756,271201,264599,268367,269302,273421,278637,284281,289931,295693,301803,308126,313772,318439,322462,326193,329602,332458,335343,338280,340920,343367,345397,346716,347250,347043,346239,345036,343763,342703,341956,341394,340979
Dominica,DMA,"Population ages 0-14, total",SP.POP.0014.TO,26553,27120,27614,28157,28773,29476,30271,31149,32089,33050,33566,33456,33149,32824,32484,32130,31760,31359,30918,30404,29778,28883,27764,26708,25811,25050,24405,23870,23463,23210,23080,22996,22904,22784,22623,22411,22154,21847,21478,21041,20533,20030,19606,19218,18832,18436,18004,17526,17037,16586,16180,15934,15640,15657,15661,15265,14445,13607,13311,13026,12735,12449,12224,12045
Denmark,DNK,"Population ages 0-14, total",SP.POP.0014.TO,1154420,1138883,1126919,1122134,1125030,1132012,1142830,1152430,1153747,1150964,1148054,1147075,1148636,1149050,1146978,1143308,1136800,1126165,1111133,1091904,1068139,1037579,1006291,980805,960002,942883,926504,909586,895258,884875,877043,874263,878739,885890,895066,910281,928297,944545,959891,974378,987809,999835,1009107,1015294,1017838,1016982,1014981,1011992,1008957,1004668,998149,990701,981944,973040,965580,961401,960866,961014,958964,955231,950895,947264,946628,943600
Dominican Republic,DOM,"Population ages 0-14, total",SP.POP.0014.TO,1587941,1649015,1708918,1767158,1824886,1881150,1934899,1986132,2033598,2077784,2119694,2159941,2198972,2237219,2274201,2309537,2343806,2377328,2410145,2442403,2474897,2506854,2538027,2570893,2604969,2637475,2668232,2698119,2728088,2759972,2793288,2826052,2857693,2888425,2917644,2944419,2969088,2989806,3003988,3016118,3031869,3048488,3061434,3068841,3069268,3063730,3053976,3042937,3034893,3031572,3031527,3032434,3035457,3041508,3046230,3045913,3042875,3041035,3041951,3044230,3047382,3051882,3053857,3049697
Algeria,DZA,"Population ages 0-14, total",SP.POP.0014.TO,5202523,5343427,5457801,5580677,5706538,5813207,5930802,6073359,6208670,6340043,6473743,6612466,6755787,6902405,7050263,7324631,7738704,8045736,8236069,8435505,8646824,8869845,9101518,9339781,9580584,9820346,10045008,10237828,10401017,10539839,10653785,10761629,10910578,11051042,11117975,11127126,11086800,11003723,10843658,10627367,10416299,10212646,10013969,9834425,9693627,9598908,9555682,9567254,9637069,9762564,9936650,10156557,10433864,10785737,11194948,11622047,12051018,12484115,12896470,13265110,13583665,13838743,14025769,14144415
East Asia & Pacific (excluding high income),EAP,"Population ages 0-14, total",SP.POP.0014.TO,364700448,362864574,368569359,383198297,397598260,409789446,421976904,431592483,441315619,452651039,463482768,474536317,483574591,491962006,501802206,511094033,519213434,521862983,516655288,510415631,505849089,502186860,501157369,498748301,493911216,489932705,487672585,487957438,489185040,491416766,495963437,500233441,502857904,505067031,506346978,506362061,504969534,501550566,497512761,493129869,487428862,480210823,471002532,461400634,451853170,441667687,433863185,429755173,427238951,425700661,424787753,424685376,426262875,428647652,431207323,433025024,434708817,437365166,438411516,437370494,434061193,428122956,420395607,411242643
Early-demographic dividend,EAR,"Population ages 0-14, total",SP.POP.0014.TO,402133259,415174804,428571393,442360702,456015168,468926331,481485863,494103918,506753452,519383461,531812102,543954414,556236037,568883569,581570754,594155945,606798404,619365910,631906754,644982190,658821234,673546927,688713243,703941732,719422571,735049400,750568869,765941923,781071676,795818262,811092288,824962885,838336180,850757485,861685058,871882409,881847755,890702666,897986307,904216384,910090018,915883622,921268688,926217189,930839641,935068002,939129963,942992059,947048532,951357730,955436855,959755491,963841726,967679697,970593956,972831671,974407696,975243464,975781948,976218496,976221623,975109832,973992592,972176836
East Asia & Pacific,EAS,"Population ages 0-14, total",SP.POP.0014.TO,413759981,412342411,418123834,432775501,447003045,459177615,471381440,481181686,491430686,503077097,514217481,525921917,535566432,544577765,554940999,564474439,572615898,575202459,569873438,563525900,558754385,555049641,553950110,551164533,545759922,540974570,537694824,536867150,536952973,538068617,541578574,545008775,546902177,548459537,549133894,548543728,546615905,542691728,538204481,533337808,527276388,519830848,510332497,500353692,490375099,479714546,471451950,466924452,464035863,462066380,460695061,460110723,461255744,463248397,465473639,466960232,468312737,470680594,471450765,470108123,466406646,459865300,451521870,441867798
Europe & Central Asia (excluding high income),ECA,"Population ages 0-14, total",SP.POP.0014.TO,43842627,45495122,46919915,48188778,49248919,50119995,50943053,51741318,52470214,53096190,53551067,53975108,54396183,54731609,54983843,55150256,55327488,55561583,55786409,56140380,56675692,57224429,57836623,58570248,59376940,60152655,60916656,61647090,62322120,62978752,63526365,63885712,64172481,64267260,64083564,63658220,63072209,62282581,61267623,60137438,59064692,57918407,56763138,55735656,54858331,54090554,53436543,52797687,52590475,52558705,52635531,52823900,53153753,53624184,54191282,54814001,55516046,56199134,56832440,57497488,58060822,58509319,58310642,57781007
Europe & Central Asia,ECS,"Population ages 0-14, total",SP.POP.0014.TO,187750502,191198957,193423526,195259762,196680220,197616320,198280333,198931036,199464743,199662570,199234332,198804906,198483628,197885158,197092992,196162238,195184991,194242552,193248662,192435830,192133646,191912330,191598585,191475366,191511544,191573377,191682018,191787560,192036470,192248961,192005526,191385180,190463465,189296294,187682033,185635867,183376729,180842378,177827543,174656478,171514306,168222228,165109695,162503576,160237337,158225898,156561366,155362834,155143808,155400305,155806514,156254265,157122508,158200216,159456202,160801642,162232165,163496766,164405549,165028078,165342706,165101642,164374806,162806696
Ecuador,ECU,"Population ages 0-14, total",SP.POP.0014.TO,2015404,2082867,2152227,2220621,2287085,2354798,2425280,2497645,2571619,2646866,2723123,2800078,2877189,2954015,3030261,3105672,3179970,3252987,3324525,3394501,3463214,3530766,3596945,3661951,3726662,3789150,3847161,3901185,3952745,4004313,4056497,4108537,4160233,4209607,4255407,4299464,4343196,4385031,4423479,4458100,4490439,4522725,4554934,4585691,4612254,4634230,4652625,4668323,4684808,4704898,4723942,4740017,4752130,4752468,4741334,4725019,4704312,4684515,4671821,4657387,4631084,4593309,4548078,4495864
"Egypt, Arab Rep.",EGY,"Population ages 0-14, total",SP.POP.0014.TO,11383506,11698184,11992069,12281881,12583966,12886904,13182774,13475753,13764783,14052653,14341913,14637001,14944582,15263724,15598220,15957276,16340111,16744798,17172954,17626521,18112325,18618801,19145976,19716060,20315645,20928211,21540909,22146284,22755872,23349173,23909908,24412701,24846208,25223381,25543852,25822118,26077394,26323021,26563854,26793247,26996962,27190988,27391792,27594121,27806247,28053961,28350645,28711718,29146559,29651359,30226246,30865736,31563991,32323943,33118805,33924723,34683286,35364841,35914021,36290697,36592299,36828671,36996605,37149814
Euro area,EMU,"Population ages 0-14, total",SP.POP.0014.TO,67913622,68718083,69202259,69688138,70283064,70844020,71437192,71959319,72397303,72735624,72826649,72906128,72915167,72726386,72347941,71807385,71105974,70293403,69366049,68292292,67277630,66264976,65129369,64002682,62833542,61730973,60732008,59803631,59083651,58583399,58175987,57655368,57166397,56819278,56318727,55750976,55220385,54740129,54287789,53946227,53728993,53486363,53312060,53127602,52910803,52710994,52512516,52419819,52477792,52603409,52696042,52509650,52422696,52317080,52241500,52171053,52116301,52040387,51909512,51645407,51358033,50983679,50723069,50245519
Eritrea,ERI,"Population ages 0-14, total",SP.POP.0014.TO,403136,412200,422021,433241,445486,459389,474105,489115,505260,521656,538640,556391,574084,591107,606656,621280,637864,656163,674629,693450,712785,732768,753349,770042,782968,796722,811394,831141,856030,881106,905494,856400,804786,826620,849827,880110,913500,941512,968831,994165,1016492,1039609,1063245,1089277,1117409,1142820,1166091,1187815,1211591,1234037,1253783,1268854,1279029,1290063,1299841,1307597,1314835,1320398,1325193,1328192,1329763,1332497,1336539,1342258
Spain,ESP,"Population ages 0-14, total",SP.POP.0014.TO,8359133,8425501,8510782,8574412,8665817,8795896,8924662,9065047,9198812,9308791,9421587,9529257,9610975,9676139,9732418,9777811,9827594,9869381,9871827,9823751,9748768,9627050,9462821,9295644,9110065,8908209,8693310,8463252,8221456,7966097,7691701,7433784,7214836,7009179,6805428,6603993,6427606,6286531,6166485,6073599,6010466,5988765,6038333,6136120,6231951,6332214,6456764,6600781,6748376,6867216,6949998,7015590,7044027,7026640,6995960,6965234,6934628,6905389,6863211,6810416,6725690,6594739,6493288,6410281
Estonia,EST,"Population ages 0-14, total",SP.POP.0014.TO,280275,285647,289762,292540,293998,295061,295155,294462,295603,297711,300067,303519,306640,308520,309224,309446,310287,312099,314506,316941,319942,324009,328512,332645,335777,338228,340868,344037,347255,349499,349294,345207,334410,320240,308150,297358,286785,276558,266189,255603,246303,238085,229606,220879,212695,205999,201449,199131,199052,200653,202864,204862,206226,207436,208827,210654,212517,214411,216327,218075,218552,218027,218959,218811
Ethiopia,ETH,"Population ages 0-14, total",SP.POP.0014.TO,9028665,9238698,9465094,9719670,10006290,10339215,10693357,11062127,11461267,11869456,12293108,12737706,13189576,13635487,14054067,14450259,14881623,15231289,15539509,15814329,15942085,16384901,17054112,17508206,17899540,18351395,18861190,19513862,20319451,21153646,22002094,22960590,23952378,24897886,25873048,26867615,27885093,28937387,30019444,31115213,32188473,33228498,34241592,35229301,36206264,37173182,38114165,39015000,39864583,40650214,41384975,42083563,42732266,43329582,43909313,44508942,45142559,45807316,46518301,47291168,48103096,48934573,49784838,50660304
European Union,EUU,"Population ages 0-14, total",SP.POP.0014.TO,92858727,93677836,94023915,94315209,94693587,94947779,95193593,95498641,95768131,95896017,95699620,95502906,95369900,95129833,94848248,94538543,94132300,93623849,92935419,92070777,91283136,90487558,89436920,88252791,87039587,85928327,84918405,83942050,83104976,82355101,81586183,80655001,79744524,79005168,78106614,77099690,76107174,75168214,74258161,73450616,72658556,71824628,71063355,70386686,69717450,69117907,68594208,68234988,68110380,68105855,68147921,68002912,67903591,67793852,67738749,67705491,67714050,67733613,67698898,67514358,67248799,66664300,66268155,65600722
Fragile and conflict affected situations,FCS,"Population ages 0-14, total",SP.POP.0014.TO,96654158,99152486,101703043,104379587,107068936,109785996,112568222,115417178,118365818,121369690,124440590,127647773,130976860,134450209,138005221,141617585,145365831,149123524,153061786,157219092,161180706,164979441,169061440,173340446,177763448,182267537,186710673,191207946,195639940,200211603,205732292,210241185,215388560,221235579,227149109,232714707,237929401,243082097,248276200,253567608,258883692,264367285,270498140,276972968,283352492,289947571,296607035,303064595,310037218,317552167,325084446,332737318,340703205,348837231,356698362,364033190,371044333,377873864,384564463,391173945,397719754,404064460,409664609,415201338
Finland,FIN,"Population ages 0-14, total",SP.POP.0014.TO,1346820,1328500,1305479,1283253,1261128,1238981,1220444,1204632,1187586,1164124,1134012,1107277,1085916,1067049,1050983,1037141,1023868,1011210,997568,982949,970649,961026,954429,951196,950928,951520,951565,952267,956449,961110,963224,964886,966919,969485,971469,971990,970152,964954,956249,947074,939675,933974,929317,923573,917344,910745,904055,897895,892890,889758,888015,888347,890194,893202,895794,896287,895074,892274,886300,876616,865945,856328,845692,833958
Fiji,FJI,"Population ages 0-14, total",SP.POP.0014.TO,187998,194055,200199,206523,212818,219206,225188,229995,233892,237255,239965,241925,243064,243394,243123,242784,243140,244775,247369,250473,254181,258494,263470,269047,275056,281224,286751,290785,293902,296770,298929,300067,300306,299710,298277,296232,294259,292969,291763,290124,288582,287411,286508,285757,285070,284455,283946,283398,282527,281391,279957,278096,276266,274744,273405,272187,270731,268487,265428,261865,258983,256754,254701,253080
France,FRA,"Population ages 0-14, total",SP.POP.0014.TO,12566327,12690918,12685743,12692569,12742662,12772068,12799539,12823749,12843567,12876632,12914992,12971629,13024877,13050130,13013041,12927339,12820060,12708640,12591676,12460905,12369098,12311098,12243875,12199955,12129966,12052728,11962788,11863960,11779879,11735822,11732569,11756615,11769034,11744413,11695442,11624564,11545018,11474352,11440697,11468203,11529555,11580984,11613674,11633245,11654467,11690193,11743448,11805480,11882830,11975621,12050091,12116309,12169451,12172795,12165657,12141707,12065828,11999120,11941549,11865135,11789064,11699633,11592436,11461903
Faroe Islands,FRO,"Population ages 0-14, total",SP.POP.0014.TO,11212,11247,11276,11330,11409,11531,11658,11771,11897,12021,12107,12146,12171,12207,12255,12301,12324,12301,12238,12175,12107,12013,11901,11771,11649,11603,11560,11565,11610,11700,11640,11576,11534,11308,10803,10447,10368,10468,10617,10749,10878,11050,11171,11276,11247,11064,10874,10754,10723,10722,10553,10387,10263,10214,10254,10300,10354,10514,10685,10812,10909,10996,11025,10982
"Micronesia, Fed. Sts.",FSM,"Population ages 0-14, total",SP.POP.0014.TO,19495,20362,21269,22157,22934,23658,24411,25191,26002,26848,27744,28669,29606,30559,31523,32327,32997,33714,34647,35784,36928,38061,39181,40282,41351,42379,43356,44291,45155,45923,46604,47181,47497,47632,47698,47497,47081,46616,46144,45696,45233,44709,44152,43596,42991,42318,41566,40692,39780,38912,38365,38145,37900,37573,37253,36966,36785,36703,36597,36468,36344,36266,36234,36187
Gabon,GAB,"Population ages 0-14, total",SP.POP.0014.TO,160826,164670,168757,173245,178023,182816,187777,193049,198619,204652,211155,217998,225214,232760,240571,248700,257244,266232,275687,285610,296006,306926,318309,330080,342140,354370,366731,379241,391898,404560,417080,429368,441378,453069,464234,474634,484259,493463,502536,511562,520736,530100,539586,549271,559424,570323,582097,594864,608801,624425,642168,661854,682677,703890,725246,746634,768238,790098,812087,833963,855113,875163,893879,910978
United Kingdom,GBR,"Population ages 0-14, total",SP.POP.0014.TO,12234655,12316220,12368489,12441212,12558376,12709485,12861753,13021160,13173775,13298804,13387990,13444742,13460104,13410331,13284063,13093899,12853483,12578046,12301853,12046944,11812467,11584307,11358463,11163550,11009282,10890857,10805125,10743546,10780934,10878053,10960979,11072325,11186064,11271758,11314304,11309400,11293138,11281378,11267995,11237970,11151045,11044194,10979524,10987537,11003605,10979715,10963979,10973469,11016120,11077298,11146399,11225056,11316468,11416270,11521646,11643172,11777434,11904229,11997279,12045350,12052033,11954000,11951050,11899149
Georgia,GEO,"Population ages 0-14, total",SP.POP.0014.TO,1046708,1084710,1116355,1141968,1162726,1177705,1196244,1221005,1241739,1256776,1258021,1250381,1242007,1230396,1216733,1200327,1184229,1168402,1152212,1139706,1134127,1134725,1138962,1148422,1162177,1177343,1192716,1207251,1222762,1226169,1226185,1236596,1244737,1248630,1219623,1161097,1102883,1048860,1002299,958218,913340,871125,836236,808744,782650,754082,729330,712508,705868,702484,702524,700440,697497,697419,706803,723526,739617,754018,765650,773911,781783,785237,786946,781768
Ghana,GHA,"Population ages 0-14, total",SP.POP.0014.TO,3160203,3289764,3404761,3517178,3625462,3733325,3841998,3951670,4063229,4179328,4304977,4438062,4572078,4703184,4832703,4962174,5077070,5178131,5281866,5392114,5512313,5641358,5775070,5911490,6045987,6182744,6334769,6494808,6651881,6808548,6968818,7133376,7290640,7431969,7557143,7684068,7818016,7940419,8051380,8167545,8300218,8444545,8594736,8748416,8904910,9068084,9237684,9408346,9581637,9764538,9962787,10179505,10409488,10642450,10867984,11078639,11273030,11443855,11595071,11738136,11870064,11991570,12109097,12224102
Gibraltar,GIB,"Population ages 0-14, total",SP.POP.0014.TO,5653,5536,5603,5784,5932,6081,6244,6411,6569,6711,6855,6989,7081,7132,7149,7130,7098,7086,7072,7034,6968,6893,6852,6819,6749,6635,6471,6281,6085,5849,5584,5357,5295,5368,5430,5460,5467,5462,5440,5390,5312,5170,5123,5234,5346,5454,5520,5553,5598,5652,5719,5777,5815,5868,5952,6025,6106,6222,6338,6442,6533,6659,6776,6845
Guinea,GIN,"Population ages 0-14, total",SP.POP.0014.TO,1408290,1438323,1468216,1498004,1528928,1560311,1591786,1624408,1658162,1693075,1729038,1765996,1803924,1842731,1882277,1922521,1963608,2005854,2049400,2094353,2141087,2189752,2241044,2294873,2351291,2411160,2474599,2541835,2612540,2686018,2785706,2905029,3006629,3107349,3210502,3309096,3410629,3506819,3599963,3693196,3783467,3865982,3945339,4026608,4107519,4189349,4272595,4357266,4443961,4532796,4624103,4715631,4805583,4898457,4995315,5094980,5199524,5308298,5418076,5527343,5635246,5740545,5842683,5941238
"Gambia, The",GMB,"Population ages 0-14, total",SP.POP.0014.TO,163203,166900,171056,176062,182049,188303,194385,200545,206851,213318,219963,226899,234192,241780,249922,258705,268027,277968,288546,299876,312101,325221,339275,354437,370385,386915,404251,422350,441251,461104,481981,503697,525730,547131,567891,588363,608250,627425,646031,664059,681455,698392,714983,731450,748076,764992,782563,800763,819191,837882,857328,878169,900656,924012,946903,968803,989497,1008732,1026209,1042306,1057717,1072238,1085814,1098855
Guinea-Bissau,GNB,"Population ages 0-14, total",SP.POP.0014.TO,212893,216184,222461,228386,232976,235717,237551,239483,241792,243467,244747,245593,245919,246440,254176,272185,295884,324075,354449,369719,373485,381370,389438,397418,405096,412384,419266,425813,432186,438512,444526,452890,465632,480930,495886,507882,517316,525621,533830,542337,551317,560988,571345,582403,593865,606029,619217,633127,647295,661589,676314,691709,707621,723720,739545,754669,769013,782126,794027,805357,816203,826460,835995,845021
Equatorial Guinea,GNQ,"Population ages 0-14, total",SP.POP.0014.TO,103777,106452,109230,112110,114684,116950,119342,121915,124672,126532,126609,125389,123384,121038,118680,116514,114543,113564,114066,116037,120240,126835,135292,142767,148936,155911,163482,171472,179801,188436,197353,206541,215991,225699,235599,245619,255787,266149,276726,287220,300545,316360,331274,345741,360452,374370,387922,402966,419407,437085,455832,475281,495169,515538,536333,557171,577731,597779,616814,634421,650458,665443,679542,692541
Greece,GRC,"Population ages 0-14, total",SP.POP.0014.TO,2221725,2216658,2206828,2204672,2203188,2164320,2195837,2199578,2206267,2208736,2177608,2212650,2203532,2189817,2173893,2167472,2182456,2199570,2213329,2218244,2254077,2291714,2273561,2244751,2213171,2176786,2136832,2094918,2053295,2011671,1978658,1955144,1929642,1900055,1866199,1829992,1793203,1762508,1738568,1719273,1709773,1709409,1703015,1684877,1664765,1647952,1634160,1623429,1621218,1625396,1627411,1626590,1620368,1607525,1588906,1567340,1555781,1550826,1542157,1532722,1516023,1482088,1445325,1413788
Grenada,GRD,"Population ages 0-14, total",SP.POP.0014.TO,44499,45043,45448,45766,45806,46096,46576,46657,46572,46363,46020,45548,44925,44141,43255,42299,41302,40279,39251,38237,37234,36273,35398,34627,33971,33436,33033,32763,32639,32662,32821,33104,33478,33904,34345,34774,35135,35375,35493,35487,35367,34713,33585,32469,31374,30344,29417,28608,27913,27314,26787,26462,26311,26153,25943,25648,25406,25162,24864,24598,24315,24000,23640,23236
Greenland,GRL,"Population ages 0-14, total",SP.POP.0014.TO,14265,14906,15579,16331,17028,17938,18526,18931,19348,19755,20149,20118,20052,19727,19233,18489,17630,16643,15801,15219,14699,14221,13720,13364,13162,13093,13123,13352,13697,14037,14370,14607,14775,14949,15221,15401,15419,15411,15377,15279,15142,14965,14807,14619,14420,14143,13779,13420,13104,12886,12794,12554,12338,12116,11975,11846,11757,11681,11630,11709,11766,11808,11787,11830
Guatemala,GTM,"Population ages 0-14, total",SP.POP.0014.TO,1895913,1956777,2016879,2075180,2132330,2190328,2249123,2307916,2366772,2426148,2486764,2549444,2614621,2682750,2747932,2808483,2863130,2920943,2989814,3062935,3141410,3223863,3304821,3392362,3490091,3588775,3686689,3785893,3889365,3995032,4100517,4203020,4304005,4406125,4513231,4623883,4730815,4834438,4934761,5032566,5128318,5220887,5306521,5381566,5447731,5505335,5555725,5601151,5638949,5669174,5695586,5721074,5746878,5770944,5793390,5815661,5838514,5859573,5873243,5875254,5867587,5854423,5838760,5824915
